rtcode,yr,cmdcode,export
36,2020,44,1026757801
36,2020,45,1553539
36,2020,46,279335
36,2020,47,118780639
36,2020,48,640058746
36,2020,49,140871523
36,2020,50,178669
36,2020,51,1533114389
36,2020,52,315466972
36,2020,53,544698
36,2020,54,18470899
36,2020,55,6346693
36,2020,56,51259087
36,2020,57,25560695
36,2020,58,3323690
36,2020,59,15749089
36,2020,60,6538321
36,2020,61,91172038
36,2020,62,114227127
36,2020,63,102435808
36,2020,64,66999287
36,2020,65,9267174
36,2020,66,1333840
36,2020,67,1836653
36,2020,68,59733219
36,2020,69,46963129
36,2020,70,55067823
36,2020,71,18636167894
36,2020,72,1131370556
36,2020,73,509343690
36,2020,74,2723601380
36,2020,75,88423454
36,2020,76,2918845005
36,2020,78,676093756
36,2020,79,963884213
36,2020,80,16934994
36,2020,81,140595761
36,2020,82,127231804
36,2020,83,111792926
36,2020,84,4301414740
32,2020,85,135171946
36,2020,85,3048965175
32,2020,86,2278141
36,2020,86,33030503
32,2020,87,3796323050
36,2020,87,1149013168
32,2020,88,52598636
36,2020,88,1345168375
32,2020,89,20127213
36,2020,89,270691902
32,2020,90,115490912
36,2020,90,2895816651
32,2020,91,3431103
36,2020,91,123668861
32,2020,92,902027
36,2020,92,7209104
32,2020,93,6333109
36,2020,93,116321367
32,2020,94,29548736
36,2020,94,207751368
32,2020,95,5026340
36,2020,95,301407643
32,2020,96,53542480
36,2020,96,72831894
32,2020,97,15456565
36,2020,97,63722501
32,2020,99,2822435917
36,2020,99,37862976908
40,2020,1,146762536
40,2020,2,1319096531
40,2020,3,67620510
40,2020,4,1554294195
40,2020,5,57913591
40,2020,6,47277271
40,2020,7,181486896
40,2020,8,385290822
40,2020,9,183391163
40,2020,10,528509108
40,2020,11,290919929
40,2020,12,460974643
40,2020,13,19182321
40,2020,14,1928718
40,2020,15,353970237
40,2020,16,607355347
40,2020,17,319615108
40,2020,18,474677015
40,2020,19,1345501005
40,2020,20,772927456
40,2020,21,988607366
40,2020,22,3433675053
40,2020,23,1029207093
40,2020,24,1052668
40,2020,25,407936516
40,2020,26,37619452
40,2020,27,3162686226
40,2020,28,828522103
40,2020,29,2529661829
40,2020,30,12381615731
40,2020,31,314148260
40,2020,32,860247225
40,2020,33,539155791
40,2020,34,615543848
40,2020,35,283025316
40,2020,36,63952690
40,2020,37,17922591
40,2020,38,2264784415
40,2020,39,7189785454
40,2020,40,737563130
40,2020,41,352583992
40,2020,42,214378652
40,2020,43,7590116
40,2020,44,4885237020
40,2020,45,5860295
40,2020,46,6602024
40,2020,47,313189468
40,2020,48,4460865554
40,2020,49,439824893
40,2020,50,2608944
40,2020,51,35277611
40,2020,52,421158432
40,2020,53,7573513
40,2020,54,94590795
40,2020,55,964821247
40,2020,56,229192132
40,2020,57,98857625
40,2020,58,79492428
40,2020,59,220619746
40,2020,60,138701815
40,2020,61,1322710140
40,2020,62,1326645754
40,2020,63,645149822
40,2020,64,923327794
40,2020,65,94047413
40,2020,66,51161578
40,2020,67,35456362
40,2020,68,825897182
40,2020,69,382475517
40,2020,70,876194793
40,2020,71,2342100487
40,2020,72,5811657532
44,2020,1,1076
48,2020,1,953754
48,2020,2,3709609
44,2020,3,33781671
48,2020,3,75739894
48,2020,4,147120894
44,2020,5,1024839
48,2020,5,29657
44,2020,6,70000
48,2020,6,27480
44,2020,7,756
48,2020,7,3105528
44,2020,8,10
48,2020,8,7345176
44,2020,9,25717
48,2020,9,10816470
48,2020,10,5159007
48,2020,11,671155
44,2020,12,41750
48,2020,12,2654370
48,2020,13,55262
48,2020,14,45194
48,2020,15,1294389
44,2020,16,62485
48,2020,16,5203636
48,2020,17,3519568
48,2020,18,2776106
44,2020,19,576
48,2020,19,141650273
44,2020,20,16238
48,2020,20,12649276
44,2020,21,31937
48,2020,21,93091449
44,2020,22,307750
48,2020,22,5034794
44,2020,23,240
48,2020,23,28084
44,2020,24,102611
48,2020,24,66546325
44,2020,25,19288956
48,2020,25,3029166
48,2020,26,807871747
44,2020,27,96324390
48,2020,27,3446869419
44,2020,28,697963
48,2020,28,45707477
44,2020,29,506104
48,2020,29,107923698
44,2020,30,278257
48,2020,30,1724645
48,2020,31,172506072
44,2020,32,627641
48,2020,32,22562166
44,2020,33,68797
48,2020,33,92409114
44,2020,34,15206
48,2020,34,106305764
44,2020,35,608
48,2020,35,485351
48,2020,36,2512978
48,2020,37,62813
44,2020,38,199356
48,2020,38,56134047
44,2020,39,58939288
48,2020,39,234883228
44,2020,40,363671
44,2020,42,7927
44,2020,44,93199
44,2020,46,242
44,2020,47,12285
44,2020,48,40104
44,2020,49,418087
44,2020,52,5
44,2020,54,31
44,2020,56,2005
44,2020,57,28894779
44,2020,58,20
44,2020,59,1400
44,2020,61,13755
44,2020,62,1010410
44,2020,63,730505
44,2020,64,15627
44,2020,65,11613
44,2020,66,630
44,2020,67,38934
44,2020,68,72517
44,2020,69,107023
44,2020,70,18481
44,2020,71,12195319
44,2020,72,205274
40,2020,73,5047143259
44,2020,73,5914931
40,2020,74,1593877727
44,2020,74,206176
40,2020,75,395761767
40,2020,76,3594669177
44,2020,76,250601
40,2020,78,44522423
40,2020,79,147369973
40,2020,80,21495950
40,2020,81,551932896
44,2020,81,525
40,2020,82,848579238
44,2020,82,10178360
40,2020,83,2626141607
44,2020,83,152631
40,2020,84,27959761903
44,2020,84,18597446
40,2020,85,15541140831
44,2020,85,9677270
40,2020,86,1681971728
44,2020,86,68552
40,2020,87,16989924815
44,2020,87,4573028
40,2020,88,1018101036
44,2020,88,467461
40,2020,89,52870854
44,2020,89,19442969
40,2020,90,4806457971
44,2020,90,2359956
40,2020,91,160972787
44,2020,91,1733508
40,2020,92,64372386
44,2020,92,121235
40,2020,93,578731461
40,2020,94,2408300555
44,2020,94,369353
40,2020,95,1091903886
44,2020,95,6294524
40,2020,96,236183305
44,2020,96,11404
40,2020,97,178706694
44,2020,97,2171851
40,2020,99,82976903
51,2020,1,14717056
52,2020,1,1551402
51,2020,2,140700
52,2020,2,131259
51,2020,3,48717028
52,2020,3,252281
51,2020,4,11833077
52,2020,4,184053
51,2020,5,5630
52,2020,5,8070
51,2020,6,6945788
52,2020,6,1776
51,2020,7,36167179
52,2020,7,12526
51,2020,8,56158847
52,2020,8,90492
51,2020,9,5056186
52,2020,9,42705
51,2020,10,40053
52,2020,10,23117
51,2020,11,340314
52,2020,11,2638400
51,2020,12,569473
52,2020,12,8344
51,2020,13,15528
51,2020,14,2
52,2020,14,107
51,2020,15,70460
52,2020,15,12226498
51,2020,16,8159316
52,2020,16,1203688
51,2020,17,655330
52,2020,17,578990
51,2020,18,11922874
52,2020,18,113595
51,2020,19,1485891
52,2020,19,10167090
51,2020,20,30930420
52,2020,20,3208290
51,2020,21,5879150
52,2020,21,2710559
51,2020,22,223203718
52,2020,22,48532323
51,2020,23,1154989
52,2020,23,1372425
