rtcode,yr,cmdcode,import
40,2020,19,1216958177
40,2020,20,932531465
40,2020,21,961421967
40,2020,22,916378709
40,2020,23,956421252
40,2020,24,312846390
40,2020,25,512410598
40,2020,26,1242282757
40,2020,27,9432614344
40,2020,28,964379513
40,2020,29,4700834808
40,2020,30,7958790220
40,2020,31,224294824
40,2020,32,1075639914
40,2020,33,1308705837
40,2020,34,966842327
40,2020,35,269454134
40,2020,36,34058527
40,2020,37,67517835
40,2020,38,2320014806
40,2020,39,6958911389
40,2020,40,1692307844
40,2020,41,161554471
40,2020,42,634638524
40,2020,43,15048619
40,2020,44,2804341388
40,2020,45,13478597
40,2020,46,20518795
40,2020,47,559298271
40,2020,48,2220061792
40,2020,49,828663978
40,2020,50,3607437
40,2020,51,69294715
40,2020,52,259976284
40,2020,53,12728375
40,2020,54,158328475
40,2020,55,129216252
40,2020,56,270687659
40,2020,57,143011988
40,2020,58,57170658
40,2020,59,155777330
40,2020,60,107256186
40,2020,61,3086870928
40,2020,62,3091473803
40,2020,63,1398742148
40,2020,64,1814016777
40,2020,65,152676714
40,2020,66,66946670
40,2020,67,32113354
40,2020,68,753915228
40,2020,69,641253595
44,2020,1,135291
44,2020,2,68990314
44,2020,3,10681667
44,2020,4,39979794
44,2020,5,408250
44,2020,6,5099504
44,2020,7,37964066
44,2020,8,31357017
44,2020,9,6744111
44,2020,10,8763566
44,2020,11,8843526
44,2020,12,1605063
44,2020,13,163167
44,2020,14,55183
44,2020,15,9641023
44,2020,16,34116199
44,2020,17,8938119
44,2020,18,3233915
44,2020,19,45735581
44,2020,20,27899373
44,2020,21,44249893
44,2020,22,59469194
44,2020,23,8016856
44,2020,24,5449001
44,2020,25,19823947
44,2020,26,32219
44,2020,27,387545117
44,2020,28,9018112
44,2020,29,7394124
44,2020,30,43905191
44,2020,31,1766941
44,2020,32,26257388
44,2020,33,16591956
44,2020,34,26836084
44,2020,35,2064679
44,2020,36,485092
44,2020,37,98885
44,2020,38,29113798
44,2020,39,80742340
44,2020,40,16700877
44,2020,41,69423
44,2020,42,6115696
44,2020,43,14724
44,2020,44,67043955
40,2020,70,952998252
40,2020,71,3630698495
40,2020,72,3540411463
40,2020,73,4880692052
40,2020,74,1946261896
40,2020,75,477637499
40,2020,76,3247855979
40,2020,78,71759972
40,2020,79,326811103
40,2020,80,58714181
40,2020,81,317413885
40,2020,82,949669564
40,2020,83,1052861813
40,2020,84,21850546989
40,2020,85,16771437250
40,2020,86,898524134
40,2020,87,17464141798
40,2020,88,887627587
40,2020,89,45137178
40,2020,90,4804275951
40,2020,91,326879888
40,2020,92,103772450
40,2020,93,139873777
40,2020,94,3701606908
40,2020,95,1442163665
40,2020,96,507816231
40,2020,97,207456392
40,2020,99,66309816
48,2020,1,18950549
51,2020,1,7014525
48,2020,2,235367998
51,2020,2,57170218
48,2020,3,67986933
51,2020,3,3386808
48,2020,4,279744841
48,2020,5,110741
48,2020,6,11716517
48,2020,7,112693924
48,2020,8,173771959
48,2020,9,52639773
48,2020,10,122150085
48,2020,11,15376598
48,2020,12,12339363
48,2020,13,4714937
48,2020,14,232936
48,2020,15,64757946
48,2020,16,55700582
48,2020,17,45486834
48,2020,18,44638006
48,2020,19,141187959
48,2020,20,77189708
48,2020,21,95286099
48,2020,22,87643544
48,2020,23,16755360
48,2020,24,87480782
48,2020,25,149280737
48,2020,26,788909423
48,2020,27,3031110983
48,2020,28,972349403
48,2020,29,57983778
48,2020,30,331231853
48,2020,31,3038086
48,2020,32,73030351
48,2020,33,143626290
48,2020,34,105313196
48,2020,35,14777336
48,2020,36,1461197
48,2020,37,2595460
48,2020,38,120580601
48,2020,39,379828191
48,2020,40,86490843
48,2020,41,425442
48,2020,42,41640313
48,2020,43,78997
48,2020,44,89609050
44,2020,45,37552
48,2020,45,1699317
44,2020,46,202545
48,2020,46,1762053
44,2020,47,4838
48,2020,47,13000895
44,2020,48,25662850
48,2020,48,102406212
44,2020,49,7368932
48,2020,49,18342760
44,2020,50,50960
48,2020,50,301586
44,2020,51,8283
48,2020,51,223594
44,2020,52,816583
48,2020,52,20393233
44,2020,53,55643
48,2020,53,747405
44,2020,54,246717
48,2020,54,7153373
44,2020,55,429447
48,2020,55,9368037
44,2020,56,2595296
48,2020,56,16014100
44,2020,57,3560060
48,2020,57,17277485
44,2020,58,553532
48,2020,58,2472823
44,2020,59,710523
48,2020,59,11471545
44,2020,60,64452
48,2020,60,1109018
44,2020,61,9878496
48,2020,61,90632057
44,2020,62,19235606
48,2020,62,143373652
44,2020,63,13154097
48,2020,63,73076388
44,2020,64,12482660
48,2020,64,54626769
44,2020,65,1141502
48,2020,65,3954909
44,2020,66,529607
48,2020,66,541483
44,2020,67,1999174
48,2020,67,2017496
44,2020,68,29825372
48,2020,68,70327555
44,2020,69,13152016
48,2020,69,85196433
44,2020,70,12325331
48,2020,70,61755785
44,2020,71,10581089
48,2020,71,273262773
44,2020,72,12030881
48,2020,72,187409340
44,2020,73,76658490
48,2020,73,552264202
44,2020,74,2392777
48,2020,74,61223174
44,2020,75,34061
48,2020,75,5578963
44,2020,76,30501872
48,2020,76,124052390
44,2020,78,15817
48,2020,78,245960
44,2020,79,100676
48,2020,79,4776270
44,2020,80,63506
48,2020,80,677822
44,2020,81,348181
48,2020,81,12309596
44,2020,82,9140845
48,2020,82,25826195
44,2020,83,10969830
48,2020,83,47881947
44,2020,84,187016386
48,2020,84,2170220970
44,2020,85,147118453
48,2020,85,1306394915
44,2020,86,1114913
48,2020,86,4480192
44,2020,87,137428292
48,2020,87,1017524479
44,2020,88,2131397
48,2020,88,14542642
44,2020,89,18593001
48,2020,89,37240443
44,2020,90,26079036
48,2020,90,208023789
44,2020,91,6340512
